Year,Timewindow,Connection,n_firms,firm_max,n_size_1,n_size_0,size_qant_2.5,size_quant_25,size_median,size_qant_75,size_quant_97.5,density,n_edges,av_deg,max_deg,clustering,av_assortativity,num_workers,n_inflow,av_inflow,max_inflow,inflow_median,inflow_qant_75,inflow_quant_97.5,n_outflow,av_outflow,max_outflow,outflow_median,outflow_qant_75,outflow_quant_97.5,n_flow,av_flow,max_flow,flow_median,flow_qant_75,flow_quant_97.5,flow>N
1990,5,uncon,30436.0,23500.0,520,1347,0.0,1.6250000000000002,5.0,14.300000000000001,203.0,9.40798341686929e-05,43574.0,2.863319752924169,358,0.022976821555216024,0.021315502082450637,1023518.605,15785.799999999999,0.51865553949270593,263.80000000000001,0.20000000000000001,0.40000000000000002,2.625,15785.800000000003,0.51865553949270615,364.80000000000001,0.20000000000000001,0.20000000000000001,2.6000000000000001,15785.800000000001,0.51865553949270604,182.40000000000001,0.10000000000000001,0.29999999999999999,2.7000000000000002,1785
1990,5,con,22805.0,23500.0,307,819,0.0,2.1333333333333333,6.4000000000000004,19.0,269.5899999999998,0.00015105994051824954,39279.0,3.4447708835781627,358,0.02984970580375155,-0.0020508412384201286,981320.67333333322,14777.799999999999,0.648007016005262,263.80000000000001,0.20000000000000001,0.40000000000000002,3.3999999999999999,14777.799999999999,0.648007016005262,364.80000000000001,0.20000000000000001,0.40000000000000002,3.3999999999999999,14777.799999999999,0.648007016005262,182.40000000000001,0.20000000000000001,0.40000000000000002,3.6000000000000001,1759
1991,1,uncon,8017.0,19076.0,129,218,0.0,3.0,10.0,40.0,617.59999999999945,0.0002265333372172955,7279.0,1.8158912311338407,86,0.008188058855356785,0.044508705497534433,694478.5,12105.0,1.5099164275913683,292.0,1.0,1.0,8.0,12105.0,1.5099164275913683,275.0,1.0,1.0,8.0,12105.0,1.5099164275913683,247.0,0.5,1.0,8.0,538
1991,1,con,3975.0,19076.0,36,64,0.29999999999999999,5.0,19.0,77.0,1120.5500000000006,0.000635577796558131,5020.0,2.5257861635220125,86,0.014241593587436976,-0.057325501169058983,599870.19999999995,9313.0,2.3428930817610061,292.0,1.0,1.0,14.0,9313.0,2.3428930817610061,275.0,1.0,1.0,14.0,9313.0,2.3428930817610061,247.0,0.5,1.5,14.5,354
1991,2,uncon,13001.0,18800.5,231,432,0.0,2.1000000000000001,7.2000000000000002,26.0,398.5,0.00015772751208486922,13329.0,2.0504576571032995,164,0.013357671815520148,0.030746854563755609,759068.25,11788.5,0.90673794323513579,171.0,0.5,0.5,5.0,11788.5,0.90673794323513579,185.5,0.5,0.5,5.0,11788.5,0.90673794323513579,131.75,0.25,0.5,5.25,734
1991,2,con,7390.0,18800.5,94,178,0.10000000000000001,3.7000000000000002,12.0,46.0,672.91249999999945,0.0003718360559006723,10152.0,2.747496617050068,164,0.02228187973932035,-0.034901186120495024,685747.30000000005,9857.0,1.3338294993234101,171.0,0.5,1.0,8.0,9857.0,1.3338294993234101,185.5,0.5,1.0,9.0,9857.0,1.3338294993234101,131.75,0.5,0.75,8.5687499999999091,603
1991,3,uncon,18907.0,18511.333333333332,309,720,0.0,1.95,6.0,19.350000000000001,289.66666666666669,0.00012154231949643713,21723.0,2.2978790923996404,226,0.01754663865786667,0.034071671562107879,819725.31666666665,13455.000000000002,0.71164119109324597,232.66666666666666,0.33333333333333331,0.33333333333333331,4.0,13455.0,0.71164119109324586,259.0,0.33333333333333331,0.33333333333333331,3.6666666666666665,13455.0,0.71164119109324586,155.66666666666666,0.16666666666666666,0.33333333333333331,3.8333333333333335,981
1991,3,con,12095.0,18511.333333333332,139,349,0.0,3.0,9.0,30.0,432.41666666666606,0.00024394824255608865,17842.0,2.950310045473336,226,0.02611445201358289,-0.011511013076996309,762368.6333333333,11912.666666666666,0.9849249000964585,232.66666666666666,0.33333333333333331,0.66666666666666663,5.666666666666667,11912.666666666668,0.98492490009645872,259.0,0.33333333333333331,0.66666666666666663,5.666666666666667,11912.666666666666,0.9849249000964585,155.66666666666666,0.33333333333333331,0.5,6.0,927
1991,4,uncon,26217.0,23500.0,438,1199,0.0,1.6000000000000001,5.0,15.0,215.59999999999974,9.821260222348606e-05,33751.0,2.5747415798909103,274,0.020393165869321928,0.029708228065041808,909788.48333333328,15086.5,0.57544722889728039,319.25,0.25,0.25,3.0,15086.5,0.57544722889728039,420.25,0.25,0.25,2.75,15086.5,0.57544722889728039,210.125,0.125,0.375,3.0,1600
1991,4,con,18293.0,23500.0,227,664,0.0,2.2333333333333329,6.9000000000000004,21.0,311.97500000000127,0.00017484542768836486,29253.0,3.19827256327557,274,0.028060695143643975,-0.0020076603493813273,860785.75,13756.5,0.75200896517793692,319.25,0.25,0.5,4.0,13756.5,0.75200896517793692,420.25,0.25,0.5,4.0,13756.5,0.75200896517793692,210.125,0.25,0.375,4.125,1572
